Fold,Precision,Recall,Accuracy,F-Score
1,0.4150,0.4010,0.7530,0.4040
2,0.3970,0.4240,0.7630,0.4040
3,0.3920,0.4000,0.7570,0.3910
4,0.4300,0.4090,0.7640,0.4110
5,0.3780,0.4060,0.7610,0.3860
Avg5 folds,0.4024,0.4080,0.7596,0.3992
