Fold,Precision,Recall,Accuracy,F-Score
1,0.5090,0.4840,0.7510,0.4960
2,0.4990,0.5190,0.7640,0.5090
3,0.4870,0.5010,0.7560,0.4940
4,0.5290,0.5080,0.7630,0.5180
5,0.4790,0.5050,0.7560,0.4920
Avg 5 folds,0.5006,0.5034,0.7580,0.5018
