Fold,Precision,Recall,Accuracy,F-Score
1,0.5130,0.4880,0.7530,0.5000
2,0.4980,0.5180,0.7630,0.5080
3,0.4900,0.5040,0.7570,0.4970
4,0.5310,0.5110,0.7640,0.5200
5,0.4880,0.5140,0.7610,0.5010
Avg 5 folds,0.5040,0.5070,0.7596,0.5052
