Fold,Precision,Recall,Accuracy,F-Score
1,0.3590,0.4120,0.7620,0.3790
2,0.3590,0.4120,0.7620,0.3790
3,0.3590,0.4120,0.7620,0.3790
4,0.3590,0.4120,0.7620,0.3790
5,0.3590,0.4120,0.7620,0.3790
Avg 5 folds,0.3590,0.4120,0.7620,0.3790
