Fold,Precision,Recall,Accuracy,F-Score
1,0.3110,0.3030,0.9690,0.3070
2,0.3230,0.3370,0.9710,0.3300
3,0.3140,0.2940,0.9690,0.3040
4,0.3140,0.3360,0.9710,0.3240
5,0.3310,0.3240,0.9700,0.3270
Avg 5 folds,0.3186,0.3188,0.9700,0.3184
