Fold,Precision,Recall,Accuracy,F-Score
1,0.0970,0.0940,0.9680,0.0900
2,0.0960,0.1160,0.9700,0.0990
3,0.0900,0.0900,0.9670,0.0840
4,0.0900,0.1080,0.9700,0.0910
5,0.1040,0.0970,0.9690,0.0970
Avg 5 folds,0.0954,0.1010,0.9688,0.0922
