Fold,Precision,Recall,Accuracy,F-Score
1,0.2870,0.2790,0.9680,0.2830
2,0.2970,0.3100,0.9700,0.3040
3,0.2820,0.2640,0.9670,0.2720
4,0.2900,0.3100,0.9700,0.2990
5,0.3030,0.2960,0.9690,0.2990
Avg 5 folds,0.2918,0.2918,0.9688,0.2914
