Fold,Precision,Recall,Accuracy,F-Score
1,0.0250,0.0210,0.9910,0.0180
2,0.0330,0.0160,0.9890,0.0180
3,0.0290,0.0230,0.9890,0.0210
4,0.0320,0.0180,0.9760,0.0180
5,0.0090,0.0170,0.9920,0.0090
Avg 5 folds,0.0256,0.0190,0.9874,0.0168
