Fold,Precision,Recall,Accuracy,F-Score
1,0.1010,0.0570,0.9910,0.0730
2,0.1250,0.0550,0.9890,0.0770
3,0.1290,0.0540,0.9890,0.0760
4,0.1360,0.0260,0.9760,0.0430
5,0.0620,0.0380,0.9920,0.0470
Avg 5 folds,0.1106,0.0460,0.9874,0.0632
