Fold,Precision,Recall,Accuracy,F-Score
1,0.1010,0.0560,0.9910,0.0720
2,0.1470,0.0650,0.9900,0.0900
3,0.1350,0.0560,0.9890,0.0800
4,0.1340,0.0250,0.9760,0.0430
5,0.0690,0.0410,0.9920,0.0520
Avg 5 folds,0.1172,0.0486,0.9876,0.0674
