Fold,Precision,Recall,Accuracy,F-Score
1,0.0410,0.0440,0.9950,0.0410
2,0.0410,0.0440,0.9950,0.0410
3,0.0410,0.0440,0.9950,0.0410
4,0.0410,0.0440,0.9950,0.0410
5,0.0410,0.0440,0.9950,0.0410
Avg5 folds,0.0410,0.0440,0.9950,0.0410
