Fold,Precision,Recall,Accuracy,F-Score
1,0.0650,0.0620,0.9760,0.0630
2,0.0640,0.0640,0.9760,0.0640
3,0.0640,0.0680,0.9770,0.0650
4,0.0690,0.0700,0.9770,0.0690
5,0.0660,0.0670,0.9770,0.0650
Avg 5 folds,0.0656,0.0662,0.9766,0.0652
