Fold,Precision,Recall,Accuracy,F-Score
1,0.4830,0.4600,0.9770,0.4710
2,0.4740,0.4670,0.9770,0.4710
3,0.4700,0.4780,0.9770,0.4740
4,0.4730,0.4790,0.9770,0.4760
5,0.4740,0.4890,0.9770,0.4810
Avg 5 folds,0.4748,0.4746,0.9770,0.4746
