Fold,Precision,Recall,Accuracy,F-Score
1,0.4680,0.4460,0.9760,0.4560
2,0.4600,0.4530,0.9760,0.4570
3,0.4590,0.4670,0.9770,0.4630
4,0.4620,0.4680,0.9770,0.4650
5,0.4610,0.4750,0.9770,0.4680
Avg 5 folds,0.4620,0.4618,0.9766,0.4618
